id,u,v,width,height,time
2397,0.8807498,0.04582927,0.05898601,0.07285865,87413.03333333334
2397,0.8794777,0.0450128,0.05736208,0.07085279,87413.05
2397,0.8760654,0.04299671,0.05198156,0.06420685,87413.06666666667
2397,0.8714177,0.04034407,0.04460752,0.05509855,87413.08333333333
2397,0.8631402,0.03712002,0.0484836,0.05988622,87413.1
2397,0.8618036,0.03660212,0.0461062,0.05694969,87413.11666666667
2397,0.8583424,0.03549286,0.0385665,0.04763677,87413.13333333333
2397,0.8523484,0.0339594,0.02406121,0.02972005,87413.15
,,,,,
2398,0.06832444,0.872762,0.02944277,0.03636728,87440.76666666666
2398,0.06841312,0.8735157,0.02771406,0.034232,87440.78333333334
2398,0.06854493,0.874343,0.02492421,0.03078601,87440.8
2398,0.06849697,0.8749518,0.01973968,0.02438216,87440.81666666667
2398,0.0735064,0.8780578,0.03609684,0.04458628,87440.83333333333
2398,0.0737925,0.8783181,0.03521451,0.04349644,87440.85
2398,0.07424214,0.8786979,0.03301762,0.04078287,87440.86666666667
2398,0.07481469,0.8791553,0.02853395,0.03524471,87440.88333333333
2398,0.08361141,0.8837188,0.04229166,0.05223803,87440.9
2398,0.08480688,0.8844746,0.04026105,0.04972986,87440.91666666667
2398,0.08634564,0.8852248,0.03589183,0.04433306,87440.93333333333
2398,0.08821035,0.8860782,0.03067132,0.03788476,87440.95
2398,0.09998103,0.8938313,0.04903847,0.06057159,87440.96666666666
2398,0.1006934,0.8942836,0.04798546,0.05927093,87440.98333333334
2398,0.1021733,0.8952177,0.04460408,0.0550943,87441.0
2398,0.1039966,0.8964924,0.04066905,0.0502338,87441.01666666666
2398,0.1181253,0.9065674,0.05805976,0.07171456,87441.03333333334
2398,0.1192169,0.9072849,0.05635969,0.06961465,87441.05
2398,0.1219723,0.9091625,0.05138495,0.06346993,87441.06666666667
2398,0.1252772,0.9116731,0.04529942,0.05595318,87441.08333333333
2398,0.1385772,0.9203625,0.05915963,0.0730731,87441.1
2398,0.1397114,0.9211028,0.05760592,0.07115398,87441.11666666667
2398,0.1426742,0.9232885,0.0519761,0.06420011,87441.13333333333
2398,0.1469819,0.9261485,0.04434451,0.05477368,87441.15
2398,0.1621037,0.9343781,0.05874241,0.07255776,87441.16666666667
2398,0.1632567,0.9350099,0.05741609,0.07091951,87441.18333333333
2398,0.1663336,0.9366979,0.05213888,0.06440116,87441.2
2398,0.1704737,0.9389215,0.04586318,0.05664952,87441.21666666666
2398,0.1862813,0.9460899,0.0605589,0.07480145,87441.23333333334
